key,class
narcotic narcotics,1
drugs,1
pshychotropic,1
substances,1
addiction,1
amphetamine,1
steroids,1
analgesics,1
antagonist,1
benzodiazepine,1
dopamine,1
drug abuse,1
drugged driving,1
electronic cigarette,1
hallucinations,1
illicit,1
injection drug use idu,1
mental disorder,1
methadone,1
drug,1
naloxone,1
overdose,1
paranoia,1
pharmacotherapy,1
prescription drug misuse,1
psychedelic drug,1
psychotherapeutics,1
tolerance,1
drug smuggling,1
unconscious,1
injured ,1
injury,1
he was throwing up alot,1
he was not making sense,1
she was blabbering,1
they were misusing the drugs,1
they were acting suspicious,1
I noticed suspicious activity in the hostel,1
they were trying to hide away,1
heroin,1
white powder ,1
powdered substance,1
his words were incoherent,1
they were fighting,1
shipment containing drugs,1
drugs were seized,1
psychotropic substances,1
illicit cultivation,1
suspicious packaging,1
pills that were of unusual colour,1
he looked unusually disoriented,1
money laundering,1
unethical way of winning,1
human trafficking,1
a group of teenagers were smoking,1
opium,1
marijuana,1
cannabis,1
overdose of pills,1
stimulating drugs,1
they looked tense,1
they were hiding from the police,1
smuggling groups were spotted,1
questionable location,1
risky location,1
herbal cannabis,1
ganja,1
exchanging small packets,1
they were smoking at the back of the building,1
large containers were transferred to this location,1
there has been unusual location in this area,1
some of them injected drugs,1
they looked as if they were using ilicit substances,1
they were armed,1
drug consumption in small scale,1
he was abusing after consuming drugs,1
he was not in his senses,1
he seemed dazed out,1
organized crime,1
mafia,1
dispute,1
contract killings,1
extortion,1
hawala,1
money laundering scheme,1
corruption,1
black money,1
terrorism,1
non medical use of prescription drugs,1
drugs and poisons,1
street children were seen smoking ganja,1
opium poppy,1
NDPS substances,1
daredevil drug,1
it was wrapped in suspicious blue packages,1
YaBA tablets,1
synthetic drugs trafficking,1
they were smoking ganja,1
he seems like a ganja supplier,1
drug cartel,1
he seems to be part of a drug cartel,1
ayurvedic medicine containing drugs,1
drugs for brain development,1
club and rave party drugs,1
self prescribed medicines,1
"Go until jurong point, crazy",0
Ok lord Joking wifi u on going,0
Free entry in a wkly comp to win FA Cup final tkts,0
U duned say so early her already then say,0
"Nah I don't think he goes to us, he lives around here though",0
FreeMsg Hey there darling it's been week's now and no word back,0
Even my brother is not like to speak with me,0
As per your request 'Melle Melle ,0
WINNER!! As a valued network customer you have been selected to receive,0
Had your mobile months or more? U R entitled to Update to the latest,0
I'm gonna be home soon and i don't want to talk about this stuff ,0
SIX chances to win CASH! ,0
URGENT! You have won ,0
I've been searching for the right words to thank you for this breathe,0
I HAVE A DATE ON SUNDAY WITH WILL!!,0
"XXXMobileMovieClub: To use your credit, click the WAP link ",0
Oh k...i'm watching here:),0
Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,0
Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,0
England v Macedonia - dont miss the goals/team news. ,0
Is that seriously how you spell his name?,0
I‰Û÷m going to try for 2 months ha ha only joking,0
So Ì_ pay first lar... Then when is da stock comin...,0
Aft i finish my lunch then i go str down lor,0
abate,0
abjure,0
anomalous,0
antipathy ,0
arcane,0
arduous,0
artless,0
ascetic,0
assuage ,0
betray,0
bucolic,0
adulterate,0
advocate,0
aggrandize,0
alacrity,0
ambivalent,0
ameliorate,0
amenable,0
anachronistic,0
audacious,0
avaricious,0
banal,0
benign,0
brazen,0
calumny,0
candid,0
castigate,0
caustic,0
construe,0
contrite,0
spam,0
crazy,0
joke,0
already,0
darling,0
winner,0
urgent,0
won,0
brother,0
cash,0
free,0
jackpot,0
sunday,0
thanos,0
ironman,0
pay,0
catch,0
force,0
bus,0
work,0
decision,0
good,0
bad,0
amazing,0
clerk,0
relation,0
blood,0
family,0
love,0
enjoy,0
care,0
mobile,0
phone,0
number,0
date,0
letter,0
saturday,0
room,0
remember,0
boy,0
girl,0
uncle,0
ringtone,0
avengers,0
pure,0
abound,0
amorphous,0
austere,0
belie,0
capricious,0
cerebral,0
congenial,0